gene_id	gene_symbol
ENSG00000000003	TSPAN6
ENSG00000000005	TNMD
ENSG00000001497	LAS1L
ENSG00000003096	KLHL13
ENSG00000004848	ARX
ENSG00000004961	HCCS
ENSG00000005022	SLC25A5
ENSG00000005302	MSL3
ENSG00000005889	ZFX
ENSG00000005893	LAMP2
ENSG00000006756	ARSD
ENSG00000006757	PNPLA4
ENSG00000007350	TKTL1
ENSG00000007952	NOX1
ENSG00000008056	SYN1
ENSG00000008086	CDKL5
ENSG00000009694	TENM1
ENSG00000010404	IDS
ENSG00000010671	BTK
ENSG00000011201	KAL1
ENSG00000011677	GABRA3
ENSG00000012174	MBTPS2
ENSG00000012211	PRICKLE3
ENSG00000013563	DNASE1L1
ENSG00000013619	MAMLD1
ENSG00000015285	WAS
ENSG00000017483	SLC38A5
ENSG00000017621	MAGIX
ENSG00000018610	CXorf56
ENSG00000022267	FHL1
ENSG00000029993	HMGB3
ENSG00000036473	OTC
ENSG00000044446	PHKA2
ENSG00000046647	GEMIN8
ENSG00000046651	OFD1
ENSG00000046653	GPM6B
ENSG00000046774	MAGEC2
ENSG00000047230	CTPS2
ENSG00000047597	XK
ENSG00000047634	SCML1
ENSG00000047644	WWC3
ENSG00000047648	ARHGAP6
ENSG00000049768	FOXP3
ENSG00000049769	PPP1R3F
ENSG00000050030	KIAA2022
ENSG00000056277	ZNF280C
ENSG00000056998	GYG2
ENSG00000062096	ARSF
ENSG00000063587	ZNF275
ENSG00000063601	MTMR1
ENSG00000065923	SLC9A7
ENSG00000067177	PHKA1
ENSG00000067445	TRO
ENSG00000067829	IDH3G
ENSG00000067840	PDZD4
ENSG00000067842	ATP2B3
ENSG00000067992	PDK3
ENSG00000068308	OTUD5
ENSG00000068323	TFE3
ENSG00000068354	TBC1D25
ENSG00000068366	ACSL4
ENSG00000068394	GPKOW
ENSG00000068400	GRIPAP1
ENSG00000068438	FTSJ1
ENSG00000068985	PAGE1
ENSG00000069509	FUNDC1
ENSG00000069535	MAOB
ENSG00000071553	ATP6AP1
ENSG00000071859	FAM50A
ENSG00000071889	FAM3A
ENSG00000072133	RPS6KA6
ENSG00000072315	TRPC5
ENSG00000072501	SMC1A
ENSG00000072506	HSD17B10
ENSG00000073009	IKBKG
ENSG00000073464	CLCN4
ENSG00000076716	GPC4
ENSG00000076770	MBNL3
ENSG00000077264	PAK3
ENSG00000077274	CAPN6
ENSG00000077279	DCX
ENSG00000077713	SLC25A43
ENSG00000077721	UBE2A
ENSG00000078061	ARAF
ENSG00000078589	P2RY10
ENSG00000078596	ITM2A
ENSG00000079482	OPHN1
ENSG00000080561	MID2
ENSG00000080572	PIH1D3
ENSG00000082458	DLG3
ENSG00000083750	RRAGB
ENSG00000085185	BCORL1
ENSG00000085224	ATRX
ENSG00000086712	TXLNG
ENSG00000086717	PPEF1
ENSG00000086758	HUWE1
ENSG00000087842	PIR
ENSG00000087916	SLC6A14
ENSG00000089289	IGBP1
ENSG00000089472	HEPH
ENSG00000089682	RBM41
ENSG00000089820	ARHGAP4
ENSG00000090776	EFNB1
ENSG00000090889	KIF4A
ENSG00000091482	SMPX
ENSG00000094631	HDAC6
ENSG00000094841	UPRT
ENSG00000099399	MAGEB2
ENSG00000101811	CSTF2
ENSG00000101812	H2BFM
ENSG00000101825	MXRA5
ENSG00000101842	VSIG1
ENSG00000101843	PSMD10
ENSG00000101844	ATG4A
ENSG00000101846	STS
ENSG00000101849	TBL1X
ENSG00000101850	GPR143
ENSG00000101856	PGRMC1
ENSG00000101868	POLA1
ENSG00000101871	MID1
ENSG00000101882	NKAP
ENSG00000101883	RHOXF1
ENSG00000101888	NXT2
ENSG00000101890	GUCY2F
ENSG00000101892	ATP1B4
ENSG00000101901	ALG13
ENSG00000101911	PRPS2
ENSG00000101916	TLR8
ENSG00000101928	MOSPD1
ENSG00000101935	AMMECR1
ENSG00000101938	CHRDL1
ENSG00000101940	WDR13
ENSG00000101945	SUV39H1
ENSG00000101951	PAGE4
ENSG00000101955	SRPX
ENSG00000101958	GLRA2
ENSG00000101966	XIAP
ENSG00000101972	STAG2
ENSG00000101974	ATP11C
ENSG00000101977	MCF2
ENSG00000101981	F9
ENSG00000101986	ABCD1
ENSG00000101997	CCDC22
ENSG00000102001	CACNA1F
ENSG00000102003	SYP
ENSG00000102007	PLP2
ENSG00000102010	BMX
ENSG00000102021	LUZP4
ENSG00000102024	PLS3
ENSG00000102030	NAA10
ENSG00000102032	RENBP
ENSG00000102034	ELF4
ENSG00000102038	SMARCA1
ENSG00000102043	MTMR8
ENSG00000102048	ASB9
ENSG00000102053	ZC3H12B
ENSG00000102054	RBBP7
ENSG00000102055	PPP1R2P9
ENSG00000102057	KCND1
ENSG00000102069	UBE2NL
ENSG00000102076	OPN1LW
ENSG00000102078	SLC25A14
ENSG00000102081	FMR1
ENSG00000102096	PIM2
ENSG00000102098	SCML2
