gene_id	gene_symbol	ENTREZ	HGNC_ID	PTV_count	PTV_p_val	PTV_MPC3_count	PTV_MPC3_p_val	PTV_MPC2_count	PTV_MPC2_p_val	MPC3_count	MPC2_count	MPC2_p_val
ENSG00000000003	TSPAN6	7105	11858	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000000005	TNMD	64102	17757	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000000419	DPM1	8813	3005	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000000457	SCYL3	57147	19285	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000000460	C1orf112	55732	25565	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000000938	FGR	2268	3697	0	1	0	1	0	1	0	0	1
ENSG00000000971	CFH	3075	4883	0	1	0	1	0	1	0	0	1
ENSG00000001036	FUCA2	2519	4008	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000001084	GCLC	2729	4311	0	1	NA	NA	0	1	NA	0	1
ENSG00000001167	NFYA	4800	7804	0	1	0	1	0	1	0	0	1
ENSG00000001460	STPG1	90529	28070	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000001461	NIPAL3	57185	25233	1	0.009482534	NA	NA	NA	NA	NA	NA	NA
ENSG00000001561	ENPP4	22875	3359	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000001617	SEMA3F	6405	10728	0	1	NA	NA	0	1	NA	0	1
ENSG00000001626	CFTR	1080	1884	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000001629	ANKIB1	54467	22215	0	1	NA	NA	0	1	NA	0	1
ENSG00000001630	CYP51A1	1595	2649	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000001631	KRIT1	889	1573	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000002016	RAD52	5893	9824	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000002330	BAD	572	936	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000002549	LAP3	51056	18449	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000002586	CD99	4267	7082	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000002587	HS3ST1	9957	5194	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000002726	AOC1	26	80	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000002745	WNT16	51384	16267	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000002746	HECW1	23072	22195	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000002822	MAD1L1	8379	6762	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000002834	LASP1	3927	6513	0	1	0	1	0	1	0	0	1
ENSG00000002919	SNX11	29916	14975	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000002933	TMEM176A	55365	24930	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000003056	M6PR	4074	6752	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000003096	KLHL13	90293	22931	0	1	NA	NA	0	1	NA	0	1
ENSG00000003137	CYP26B1	56603	20581	0	1	NA	NA	0	1	NA	0	1
ENSG00000003147	ICA1	3382	5343	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000003249	DBNDD1	79007	28455	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000003393	ALS2	57679	443	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000003400	CASP10	843	1500	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000003402	CFLAR	8837	1876	0	1	0	1	0	1	0	0	1
ENSG00000003436	TFPI	7035	11760	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000003509	NDUFAF7	55471	28816	0	1	NA	NA	NA	NA	NA	NA	NA
