gene_symbol	gene_id	Gene.Name	Case.PTV	Ctrl.PTV	Case.mis3	Ctrl.mis3	Case.mis2	Ctrl.mis2	P.ca.co..Class.1.	P.ca.co..Class.2.	P.ca.co..comb.	De.novo.PTV	De.novo.mis3	De.novo.mis2	P.de.novo	P.meta	Q.meta	OR..PTV.	OR..Class.I.	OR..Class.II.	Case.syn	Ctrl.syn	P.ca.co..syn.	P.meta..no.gnomAD	Case.Ctrl.PTV..no.gnomAD	Case.Ctrl.mis3..no.gnomAD	Case.Ctrl.mis2..no.gnomAD	P.ca.co..Class.I...no.gnomAD	P.ca.co..Class.II...no.gnomAD	P.ca.co..comb...no.gnomAD
A1BG	ENSG00000121410	Alpha-1-B glycoprotein	7	30	0	0	0	0	0.935	NA	0.935	NA	NA	NA	NA	0.935	1	0.936 (0.347<96>2.18)	0.936 (0.347<96>2.18)		24	79	0.57	0.863	7/13	0/0	0/0	0.863	NA	0.863
A1CF	ENSG00000148584	APOBEC1 complementation factor	5	29	0	0	0	0	0.727	NA	0.727	NA	NA	NA	NA	0.727	1	0.692 (0.209<96>1.81)	0.692 (0.209<96>1.81)		17	96	0.214	0.657	5/14	0/0	0/0	0.657	NA	0.657
A2M	ENSG00000175899	Alpha-2-macroglobulin	11	55	0	0	0	0	0.76	NA	0.76	NA	NA	NA	NA	0.76	1	0.803 (0.379<96>1.55)	0.803 (0.379<96>1.55)		55	190	0.627	0.726	11/28	0/0	0/0	0.726	NA	0.726
A2ML1	ENSG00000166535	Alpha-2-macroglobulin-like 1	23	121	0	0	0	0	0.247	NA	0.247	NA	NA	NA	NA	0.247	1	0.763 (0.466<96>1.2)	0.763 (0.466<96>1.2)		59	256	0.607	0.983	23/46	0/0	0/0	0.983	NA	0.983
A3GALT2	ENSG00000184389	Alpha 1,3-galactosyltransferase 2	4	13	2	1	2	4	0.925	0.831	0.886	NA	NA	NA	NA	0.886	1	1.23 (0.293<96>4)	1.72 (0.542<96>4.77)	2.01 (0.182<96>14)	6	19	0.857	0.93	4/8	2/1	2/3	0.979	0.801	0.93
A4GALT	ENSG00000128274	Alpha 1,4-galactosyltransferase	3	29	0	0	0	0	0.209	NA	0.209	NA	NA	NA	NA	0.209	1	0.415 (0.0809<96>1.34)	0.415 (0.0809<96>1.34)		27	94	0.478	0.423	3/12	0/0	0/0	0.423	NA	0.423
A4GNT	ENSG00000118017	Alpha-1,4-N-acetylglucosaminyltransferase	1	14	0	0	0	0	0.369	NA	0.369	NA	NA	NA	NA	0.369	1	0.287 (0.00678<96>1.88)	0.287 (0.00678<96>1.88)		11	72	0.172	0.452	1/7	0/0	0/0	0.452	NA	0.452
AAAS	ENSG00000094914	Achalasia, adrenocortical insufficiency, alacrimia	13	39	0	0	0	0	0.372	NA	0.372	NA	NA	NA	NA	0.372	1	1.34 (0.655<96>2.56)	1.34 (0.655<96>2.56)		23	72	0.362	0.113	13/13	0/0	0/0	0.113	NA	0.113
AACS	ENSG00000081760	Acetoacetyl-CoA synthetase	10	35	0	0	0	0	0.648	NA	0.648	NA	NA	NA	NA	0.648	1	1.15 (0.506<96>2.37)	1.15 (0.506<96>2.37)		38	111	0.436	0.198	10/13	0/0	0/0	0.198	NA	0.198
AADAC	ENSG00000114771	Arylacetamide deacetylase	5	17	0	0	0	0	0.573	NA	0.573	NA	NA	NA	NA	0.573	1	1.18 (0.34<96>3.33)	1.18 (0.34<96>3.33)		19	72	0.777	0.776	5/10	0/0	0/0	0.776	NA	0.776
AADACL2	ENSG00000197953	Arylacetamide deacetylase-like 2	7	22	0	0	0	0	0.753	NA	0.753	NA	NA	NA	NA	0.753	1	1.28 (0.461<96>3.1)	1.28 (0.461<96>3.1)		13	71	0.317	0.326	7/8	0/0	0/0	0.326	NA	0.326
AADACL3	ENSG00000188984	Arylacetamide deacetylase-like 3	3	24	0	0	0	0	0.22	NA	0.22	NA	NA	NA	NA	0.22	1	0.502 (0.0967<96>1.65)	0.502 (0.0967<96>1.65)		16	67	1	0.405	3/11	0/0	0/0	0.405	NA	0.405
AADACL4	ENSG00000204518	Arylacetamide deacetylase-like 4	3	15	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.803 (0.149<96>2.84)	0.803 (0.149<96>2.84)		17	72	1	0.467	3/3	0/0	0/0	0.467	NA	0.467
AADAT	ENSG00000109576	Aminoadipate aminotransferase	3	14	0	0	6	17	1	0.395	0.835	NA	NA	NA	NA	0.835	1	0.86 (0.158<96>3.08)	0.86 (0.158<96>3.08)	1.42 (0.457<96>3.77)	14	56	1	0.78	3/9	0/0	6/4	0.78	0.0851	0.78
AAED1	ENSG00000158122	AhpC/TSA antioxidant enzyme domain containing 1	4	8	0	0	0	0	0.228	NA	0.228	NA	NA	NA	NA	0.228	1	2.01 (0.442<96>7.49)	2.01 (0.442<96>7.49)		1	10	0.696	0.217	4/3	0/0	0/0	0.217	NA	0.217
AAGAB	ENSG00000103591	Alpha- and gamma-adaptin binding protein	9	24	0	0	0	0	0.247	NA	0.247	NA	NA	NA	NA	0.247	1	1.51 (0.616<96>3.36)	1.51 (0.616<96>3.36)		17	54	0.343	0.488	9/14	0/0	0/0	0.488	NA	0.488
AAK1	ENSG00000115977	AP2 associated kinase 1	3	4	0	0	0	0	0.135	NA	0.135	NA	NA	NA	NA	0.135	1	3.01 (0.441<96>17.8)	3.01 (0.441<96>17.8)		36	135	0.73	0.4	3/2	0/0	0/0	0.4	NA	0.4
AAMDC	ENSG00000087884	Adipogenesis associated, Mth938 domain containing	4	10	0	0	0	0	0.492	NA	0.492	NA	NA	NA	NA	0.492	1	1.61 (0.368<96>5.57)	1.61 (0.368<96>5.57)		7	19	0.431	0.75	4/6	0/0	0/0	0.75	NA	0.75
AAMP	ENSG00000127837	Angio-associated, migratory cell protein	1	7	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.573 (0.0127<96>4.46)	0.573 (0.0127<96>4.46)		23	68	0.378	1	1/4	0/0	0/0	1	NA	1
